匪警,110
火警,119
急救中心,120
道路交通事故报警,122
水上求救专用电话,12395
天气预报,12121
报时服务,12117
森林火警,12119
电力服务,95598
红十字会急救台,999
通用紧急求救,112
中国人寿保险,95519
中国人保保险,95518
中华联合保险,95585
泰康人寿保险,95522
太平洋保险,95500
天安保险,95505
华安财险,95556
新华人寿保险,95567
平安保险,95511
大众保险,95507
中国大地保险,95590
太平人寿保险,95589
华泰财险,4006012345
安邦财险,95569
中国电信综合服务,10000
中国电信手机服务,10001
中国联通客服热线,10010
中国移动客服热线,10086
中国铁通服务电话,10050
电话号码查询,114
查号台（电信）,118114
查号台（联通）,116114
铁路,12306
国航,95583
海航,950718
南航,4006695539
东航,95530
深航,95080
厦航,95557
山航,4006096777
川航,4008300999
中国银行,95566
交通银行,95559
中国银联,95516
招商银行,95555
农业银行,95599
民生银行,95568
上海浦东发展银行,95528
汇丰银行,8008302880
东亚银行,8008303811
兴业银行,95561
工商银行,95588
光大银行,95595
广东发展银行,95508
华夏银行,95577
花旗银行,8008301880
上海银行,021-962888
中信银行,95558
建设银行,95533
邮政储蓄,95580
深圳发展银行,95501
北京银行,010-96169
麦当劳,4008517517
肯德基,4008823823
必胜客,4008123123
真功夫,4006927927
丽华快餐,4008800400
申通快递,4008-895-543
EMS特快专递,11185
顺丰速运,4008-111-111
圆通速递,021-69777888
中通速递,021-39777777
韵达快运,021-39207888
天天快递,021-67662333
汇通快运,021-62963636
速尔快递,4008822168
德邦物流,4008305555
宅急送,4006789000
中铁快运,95572
鑫飞鸿快递,021-69781999
UPS,4008-208-388
FedEx(联邦快递),4008-861-888
DHL,4008-108-000
新邦物流,4008-000-222
TNT,4008-209-868
民航快递,4008-174-008
吉利汽车,4008869888
长春一汽,8008468680
一汽马自达,8008468680
宝马汽车,4008006666
广汽丰田,8008308888
BUICK别克,8008202020
东南汽车,8008581666
奇瑞汽车,4008838888
一汽大众,4008171888
东风日产,8008308899
奔驰汽车,4008181188
上海大众咨询,8008201111
沃尔沃轿车,8009881200
北京吉普,8008108880
上海华普汽车,8008205598
昌河汽车,4008879988
东风本田,8008809899
比亚迪汽车,4008303666
凯迪拉克咨询,8008201902
Ford福特,8008108168
北京现代,8008101100
江铃汽车,8008691099
东风雪铁龙,4008866688
广州本田,8008308999
一汽丰田,8008101210
雪佛兰,8008201912
北汽福田,4008199199
南京依维柯,8008281892
